date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-02-24,6.572296472,8.175295611,0,0,0,0,16.02999139,0,8.976795181,0,0,15.06819191,0
2020-02-25,7.247916376,11.42940659,27.87660145,25.92523935,0,0,16.72596087,0,9.756810507,0,4.181490217,0,0
2020-02-26,30.54192308,48.47924298,0,0,0,0,0,0,44.11611111,0,4.363131868,0,0
2020-02-27,23.7993784,12.85166434,0,0,0,0,0,0,9.281757576,0,4.283888112,18.32552137,0
2020-02-28,18.72222222,15.04464286,0,33.43253968,0,0,0,0,15.04464286,0,5.349206349,21.3968254,0
2020-02-29,16.8921908,27.40996998,16.25474964,31.87205812,0,0,19.44195545,0,10.51777918,0,10.1990586,0,0
2020-03-01,32.70416667,19.40686813,0,0,0,0,35.93864469,0,28.75091575,0,4.67202381,0,0
2020-03-02,6.100584454,9.998180077,7.625730567,16.94606793,0,0,0,0,4.914359699,0,0,9.489798039,0
2020-03-03,14.67460664,6.178781745,0,0,77.23477181,0,0,0,20.08104067,0,8.495824899,0,0
2020-03-04,13.1296644,21.52404,0,0,0,0,0,0,10.5467796,0,2.5828848,19.371636,0
2020-03-05,23.42389736,22.95541941,0,0,0,0,0,0,21.54998557,0,8.432603049,20.61302968,0
2020-03-06,27.47368421,26.1,0,0,0,0,0,0,9.615789474,0,5.494736842,0,0
2020-03-07,12,10,12,0,0,0,14,0,10,200,6,0,0
2020-03-08,17.23579545,7.021990741,0,63.83627946,0,0,0,0,11.4905303,0,10.21380471,0,0
2020-03-09,35.0304037,11.56003322,0,0,0,0,0,0,15.06307359,0,12.2606413,0,0
2020-03-10,0,17.19030303,0,0,0,0,0,0,23.87542088,0,7.878888889,0,0
2020-03-11,14.97058215,8.316990081,0,0,0,0,0,0,20.43603277,0,14.73295386,23.7628288,0
2020-03-12,6.190729905,10.21470434,12.07192331,0,0,0,15.47682476,0,15.16728827,0,3.714437943,14.54821528,0
2020-03-13,20.82758634,13.43715248,26.53837614,33.5928812,0,0,0,0,18.14015585,0,4.031145744,10.41379317,0
2020-03-14,33.96460677,21.02570896,64.69448909,0,0,0,41.2427368,0,54.18163462,0,4.852086682,80.86811137,0
2020-03-15,5.530178828,30.41598355,69.12723535,44.93270298,0,0,0,0,42.85888592,0,11.06035766,58.75815005,0
2020-03-16,49.22555766,61.84749553,0,126.2193786,0,0,80.78040232,0,54.27433281,0,15.14632544,39.12800737,0
